Awards,Points,Image Files
Michael Jordan Most Valuable Player,45,MVP.png
Bill Russell NBA Finals MVP,50,FMVP.png
All-NBA First Team,15,All_NBA_First.png
All-NBA Second Team,10,All_NBA_Second.png
All-NBA Third Team,5,All_NBA_Third.png
Hakeem Olajuwon Defensive Player Of The Year,45,DPOY.png
All-NBA Defensive First Team,12,NBA_Defense_First.png
All-NBA Defensive Second Team,8,NBA_Defense_Second.png
John Havlicek Sixth Man Of The Year,40,SMOY.png
George Mikan Most Improved Player,35,MIP.png
Player Of The Month,2,Player_Month.png
Player Of The Week,1,Player_Week.png
Wilt Chamberlain Rookie Of The Year,30,ROTY.png
All-Rookie First Team,10,Rookie_First.png
All-Rookie Second Team,5,Rookie_Second.png
Rookie Of The Month,2,Rookie_Month.png